img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1360652786216632323.jpg,nothing,There is one person in the image.,"The image features a businessman in a suit and tie who is holding his head in his hands, indicating that he is thinking or contemplating something. The man is wearing a tie and a suit, suggesting that he is dressed appropriately for work. He is holding his head in his hands, which suggests that he is thinking or contemplating something.",gun_control
1331716558490570755.jpg,"The text on the image reads ""down"" with an arrow pointing downward.",There are no people in the image.,a red arrow pointing downward on a chalkboard background,gun_control
1317778711157051393.jpg,a man is holding a gun in a gun shop,There are no people in the image.,A man in a white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at a target on the wall behind him.,gun_control
1351938721822748676.jpg,"The text on the image reads ""joe biden sworn in as president of the united states""",There are four people in the image.,"the president of the united states, person, is giving the oath of office in front of a crowd of people",gun_control
1318640695490580480.jpg,Endorsement,There are two people in the image.,"The image features a man in a suit standing in front of a building with a sign that reads ""Endorsement"" on it.",gun_control
1362738516325789699.jpg,gun collection,There are no people in the image.,"The image shows a collection of firearms on a carpet in a living room. There are several different types of firearms, including handguns, rifles, and shotguns, arranged in a neat and organized manner. There is also a fan in the room, which could be used to cool down the firearms.",gun_control
1347578011751763968.jpg,if you flip the flipping votes it's probably,There are 0 people in the image.,a tweet that says if you flip and flip your vote it's probably gone,gun_control
1375430257969348610.jpg,A Public Health Crisis Decades in the Making,There are no people in the image.,the cover of a public health crisis decades in the making,gun_control
1363414572556816384.jpg,costa rica fare islands south korea,There are no people in the image.,a table showing the number of countries with flags on it,gun_control
1362517639843770368.jpg,study found that nearly 1 in 9 people looking online to buy guns would not pass a check,There are no people in the image.,a study found that nearly 1 in 8 people looking online to buy guns would not pass a background check,gun_control
1374160123086573568.jpg,9 years and how many people have died?,There are no people in the image.,"The image depicts a clock with the words ""sandy hook 9 years and how later and more people have died"" written on it.",gun_control
1365247430795665411.jpg,children need to be taught the real history of the world,There are two people in the image.,children need to be taught the real history of the world,gun_control
1374785042984091648.jpg,did franklin roosevelt and harry trump take their guns,There are no people in the image.,a list of guns that were made by obama and harry truman,gun_control
1319390397160980482.jpg,biden harris end the online sale of firearms and ammunition,There are no people in the image.,a screenshot of a biden harris facebook page,gun_control
1347309643173916673.jpg,nothing,There is one person in the image.,"The image features a woman in a bikini standing in front of a window while holding an AK-47 rifle. She is wearing tight clothing and a pair of black leggings, suggesting that she is dressed in a provocative manner.",gun_control
1330915948983939072.jpg,nra-ila Institute for Legislative Action,There are no people in the image.,the nra-ila logo on a white background,gun_control
1375251972723511296.jpg,guns don't kill people people don't want mandatory not shit courses,There are no people in the image.,"guns don't kill people, people don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don't kill people, we don'",gun_control
1372169680945868808.jpg,say something,There are two people in the image.,"Two women are holding a poster with the words ""It's Something"" written on it. They are smiling and holding the poster in front of a green wall.",gun_control
1361343024517820424.jpg,Why Police Lies and Murderous Officers Go Free,There are no people in the image.,a poster that says why police lies and murderous officers go free,gun_control
1375370816507031553.jpg,tiger woods,There are no people in the image.,"The image features a revolver, a knife, a red bandana, and a watch on a wooden table. These items are likely to be used for hunting or target practice, and could be used to protect oneself from potential threats.",gun_control
1368969771232808965.jpg,mark's record on gun safety reform,There are no people in the image.,a poster with the words mark's record on gun safety reform,gun_control
1367306574776070146.jpg,criminals gun control why should we risk the pain of being your pet?,There are no people in the image.,a white t - shirt that says criminals gun control,gun_control
1374720661264957446.jpg,colorado has everything the left asked,There are 2 people in the image.,a tweet from a person in colorado,gun_control
1371140457292439553.jpg,handcuffs,There are two people in the image.,"The image depicts a man in an orange prison suit being handcuffed by another person in a jail cell. The handcuffs are visible on the man's wrists, indicating that he is being held in custody. The handcuffs may be used for detaining someone, or they may be used to restrain someone, depending on the context of the situation.",gun_control
1320442832780468231.jpg,two people wearing face masks,There are two people in the image.,"The image features a man and a woman wearing face masks while standing on a sidewalk near the water. The couple is likely to be experiencing some sort of health issue, such as a cold or flu, and may be wearing the masks to protect themselves from the elements.",gun_control
1374154485698822149.jpg,there have been reported 3000 asian hate crimes in the year,There are two people in the image.,an image of a hand with the words there have been 3000 asian hate crimes reported in the year,gun_control
1344659602407706628.jpg,live parliament,There are two people in the image.,a woman is standing in front of flags,gun_control
1327596447668326400.jpg,nothing,There are three people in the image.,The image shows a woman speaking into two microphones at a podium in front of two men. The woman is wearing a suit and tie and is standing in front of a podium with two microphones in front of her.,gun_control
1350795999464153089.jpg,"100 leading causes of death by fireworks, united states 2014",There are 100 people in the image.,a chart showing the most common causes of death by fireworks in the united states,gun_control
1374722678125338624.jpg,nothing,There is one person in the image.,"The image shows a young boy sitting at a desk and writing in a notebook. He is holding his head up as he writes, which can be a sign that he is struggling with his homework.",gun_control
1374871495919423491.jpg,Mass Shooting,There are no people in the image.,"a whiteboard with an image of an american flag and the words mass shooting, congress, enemies, and forgets written on it.",gun_control
1366900226406182913.jpg,99% of Americans support universal background checks,There are a large number of people in the image.,97% of americans support universal background checks,gun_control
1323740382056878087.jpg,The text on the image reads all gun.,There is one person in the image.,"The image features a man wearing a bandana and a shirt with a gun logo on it. The bandana is covering his face, which is likely to protect him from the cold or other weather conditions.",gun_control
1325435013794508802.jpg,philly philly media group,There are two people in the image.,"The image features a man in a suit posing for a photo with another man in a suit. The two men are smiling and posing for the camera, indicating that they are having a good time together.",gun_control
1374785380164190214.jpg,no more guns,There are several people in the image.,"The image shows a young boy wearing a face mask and holding a sign that reads ""No More Guns"". The boy is holding the sign in front of a crowd of people.",gun_control
1371642375836114945.jpg,"No matter how you feel about guns, you should educate yourself about the historical truths of distressed populations",There are no people in the image.,"no matter how you feel about guns, educate yourself with the historical truths of distressed populations",gun_control
1355609696200237059.jpg,The nra in 2021,There are two people in the image.,a venn diagram with the words the nra in 2021 and donate,gun_control
1369997175770480640.jpg,time requiring gun checks on all sales a common sense,There are two people in the image.,a man wearing a face mask with a quote about gun control,gun_control
1349456418139758593.jpg,"The text on the image reads, 'Guard Owners of America News Release'.",There are no people in the image.,a news release with the words go owner of aa in front of an american flag,gun_control
1365726063352025089.jpg,Only can't have guns,There are four people in the image.,a man holding a sign that says only can't have guns,gun_control
1374419077431652364.jpg,samuel obama,There is one person in the image.,a close up of a man in a suit and tie,gun_control
1333616235867680770.jpg,armed people free state can control those who resist the machinery,There are no people in the image.,an image of a gun with a quote from neil smith,gun_control
1322632548414083072.jpg,rebecca hughes,There are two people in the image.,"The image shows a person holding up a sign in a cemetery. The person is holding up a sign that reads ""Rep. Hillary Clinton"" and is standing in the middle of the graveyard. There are several gravestones surrounding the person, suggesting that they are at a funeral or memorial service.",gun_control
1370705672678084609.jpg,durbridge 13/06/96,There are many people in the image.,an old black and white photo of a group of children posing for a photo,gun_control
1375516852877553664.jpg,Change gun laws change congress,There are two people in the image.,"The image depicts a woman holding a sign that reads ""change gun laws change congress"". The woman is wearing a red shirt and is holding a sign with the words ""change gun laws change congress"" written on it.",gun_control
1374204283030212608.jpg,congressman clay higgins,There are two people in the image.,a message from congressman clay higgins,gun_control
1364638614240583680.jpg,i don't need a gun,There are no people in the image.,an image of a man with a rifle and the words i don't need a gun,gun_control
1340442042992877573.jpg,my secret testimony i oppose abortion that's why i don't support it,There are no people in the image.,"a black hoodie with the words, i oppose cloning gray charcoal hoodie front",gun_control
1363271985237753857.jpg,"breaking news armed bystanders take down down at louisiana gun store, sheriff says",There are no people in the image.,a screenshot of fox news with the text 'armed bystanders take down shooter at louisiana gun store',gun_control
1352546743003607043.jpg,Matt the mic prop gaetz,There are two people in the image.,a man in a suit with the words matt the mic prop gaetz,gun_control
1370197831223447552.jpg,mike thompson for gun control,There are no people in the image.,mike thompson for gun control screenshot,gun_control
1374714644028358668.jpg,the new york times atlanta and boulder 18 deaths in one week,There are no people in the image.,"The image is a newspaper page from the New York Times, showing a woman standing in front of a memorial for the victims of the recent atlanta and boulder shootings. The headline reads, ""18 deaths in one week"" and features a photo of a woman standing in front of a memorial.",gun_control
1372193549521915907.jpg,i want american nra and make help,There are two people in the image.,"a woman is standing next to a sign that reads ""i will american nra make new gun""",gun_control
1330847745599483906.jpg,illegal guns from the u,There are no people in the image.,a map showing illegal guns from the u.s.,gun_control
1324601823555104768.jpg,groeidaarden van president trump in phoenix,There are several people in the image.,a picture of a man holding a gun in front of a crowd,gun_control
1366916749875179520.jpg,Text checks to 643,There are no people in the image.,text checks to 643-3 tell rep cosponsor hr-3,gun_control
1348291540523704322.jpg,usa license plate,There are three people in the image.,a usa license plate with silhouettes of soldiers and an american flag,gun_control
1346232439731994625.jpg,What world could television ever be?,There are no people in the image.,"The image depicts a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"" The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that",gun_control
1316529218608664579.jpg,join pcc the biden campaign hogan and chris tuesday,There are two people in the image.,a poster with two men and a message that says join the pcc the biden campaign campaign hogg and chris,gun_control
1374357567019876365.jpg,Let's make this simple good guys with guns any questions?,There are four people in the image.,a poster that says let's make this simple any questions?,gun_control
1323975368114610176.jpg,Congratulations to Frank Pallone of New Jersey's 8th Congressional District,There are two people in the image.,frank pallone has been elected to the nj senate,gun_control
1370056912302133256.jpg,It's time for congress to end gun violence,There are no people in the image.,it's time for congress to end gun violence,gun_control
1364668179067248640.jpg,biden,There are no people in the image.,The image shows a man in a suit and tie giving a speech at a podium.,gun_control
1346718979587452929.jpg,what even more terrifying and deadly than losing your own gun rights,There are four people in the image.,a group of people wearing red scarves with the text what's even more terrifying and deadly than losing your own firearm rights,gun_control
1369743613249413124.jpg,we need guns,There are no people in the image.,a cartoon of a gun with the words we need guns,gun_control
1364432732764348417.jpg,biden gun control plan would criminalize up to 150 million gun right group,There are no people in the image.,a front page of a newspaper with the headline biden gun control plan would criminalize up to 1 million people gun right group,gun_control
1320954028981846017.jpg,a man fatally shoots himself at his third birthday party,There are no people in the image.,a boy fatally shoots himself at his third birthday party,gun_control
1315655339648389120.jpg,we prevent the supreme court from enforcing the second gun control laws,There are no people in the image.,a poster that says we prevent the supreme court from enforcing gun control laws,gun_control
1374378173446516753.jpg,firearm injury and death united states action bar professional organizations american bar,There are no people in the image.,a paper with the title firearm injury and death in the united states to action bar professional organizations and the american,gun_control
1338644707442909184.jpg,biden,There is one person in the image.,"The president of the United States, Joe Biden, is giving a speech at a podium in front of an American flag.",gun_control
1327283875236614144.jpg,Would you sell this gun?,There are two people in the image.,a man in a hoodie with a gun,gun_control
1339712334776963074.jpg,Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Opposes Type Online Reward Support Oppos,There are two people in the image.,a chart showing the percentage of people who support or oppose the repeal of the copyright law in the united states,gun_control
1347155426169729029.jpg,2nd amendment me,There are two people in the image.,a woman is standing next to a man holding a sign that says 2nd amendment me | tagged w/ imgflip meme maker,gun_control
1374315812408979456.jpg,gun violence has already become normalized,There are no people in the image.,gun violence has already become normalized,gun_control
1370932699964207105.jpg,First Rule of Gun Safety Never Let the Government Take Your Guns,There are no people in the image.,a poster with the text first rule of gun safety never let the government take your guns,gun_control
1323030670264934402.jpg,gun control means what you think it means the state will have if you think that read a good history book,There are two people in the image.,gun control means what you think it means the state will have if you think good read a history book,gun_control
1338686569289494529.jpg,children,There are a total of 16 people in the image.,Several children are shown in a collage with many smiling faces,gun_control
1327234766421319680.jpg,gun control,There are no people in the image.,a poster with a gun and the words gun control,gun_control
1368294731919327232.jpg,100 % 2nd Amendment!,There are two people in the image.,The image features a woman standing in front of a building with a sign that reads 100 % 2nd Amendment. The woman is standing in front of a building with a sign that reads 100 % 2nd Amendment.,gun_control
1325891480863563783.jpg,Gun Sense Champion Abigail Spranger voted to the U.S. House,There are two people in the image.,gun sense champion abigail spencer was elected to the u s house,gun_control
1346950933104783362.jpg,hand holding a gun,There is one person in the image.,"The image shows a hand holding a black pistol, which is likely to be used for self-defense or as a weapon in an emergency situation. The hand is holding the gun with a firm grip, indicating that the person is ready to fire the weapon.",gun_control
1374731245867831298.jpg,i believe temporary depression is like,There are several people in the image.,a woman holding a sign that says i believe temporary depression is because have no idea what depression is like,gun_control
1340060574928015362.jpg,twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight twilight,There are no people in the image.,"The image features an open laptop on a wooden table with a christmas tree in the background. The laptop is displaying a variety of social media platforms, including Facebook, Twitter, and LinkedIn. There is also a sticker with the word ""thank you"" on it, which indicates that the laptop is being used to communicate with others.",gun_control
1364637006454661121.jpg,a well regulated militia being necessary for the security of a free state the right of the people to keep and bear arms,There are no people in the image.,"a well regulated militia being necessary for the security of a free state, the right of the people to bear arms, and the rights of the individual",gun_control
1364630685756121091.jpg,gun,There are no people in the image.,"The image shows a gun on top of a form of identification, such as a driver's license or passport. A pen is also present on the form, which can be used to fill out the form and provide additional information about the applicant.",gun_control
1361787849666871299.jpg,what he 171 is it worse than you think,There are no people in the image.,a poster that says what he 171 is worse than you think,gun_control
1362580870754885636.jpg,i love you,There are six people in the image.,"The image shows a group of women on a video conference call. They are all wearing red shirts and have different facial expressions. Each woman is wearing a different colored shirt, which indicates that they are part of a larger group.",gun_control
1374778432106622977.jpg,Wounded Knee Massacre,There are 4 people in the image.,a picture of a wounded knee massacre,gun_control
1371997241293033476.jpg,"The text on the image reads, ""Ghost Guns"" with a gun in the background.",There are no people in the image.,"The image depicts a gun with the words ""Ghost Guns"" written on it. There is also a red background with the words ""Ghost Guns"" written on it.",gun_control
1367015744873979909.jpg,people standing on steps,There are several people in the image.,"The image depicts a group of men standing on the steps of a building with guns in their hands. The men are wearing uniforms and carrying weapons, suggesting that they may have been involved in a protest or demonstration.",gun_control
1325114360440696834.jpg,congratulations joe biden president of the united states,There is one person in the image.,congratulations joe biden president of the united states,gun_control
1372246390856814598.jpg,We Don't Need More Gun Control We Need Criminal Control,There are two people in the image.,"The image depicts an image of a police officer with handcuffs around his wrists. The caption on the image reads, ""We don't need more guns, we need criminal control."" The image is part of a campaign that aims to raise awareness about the importance of criminal control.",gun_control
1374368109755297796.jpg,flintlock rifle,There are no people in the image.,An antique flintlock rifle is shown against a black background.,gun_control
1331720111657369601.jpg,the new york times,There are no people in the image.,a black and white image of the new york times,gun_control
1364706430264123396.jpg,30 printed guns in the current station,There are no people in the image.,a person is holding a gun on a website with the title 3d printed guns in the current market,gun_control
1375303070477922304.jpg,prison sharks because even the most secure gun environment people find possible to kill,There are no people in the image.,a collection of knives with the words prison shanks because even the most secure gun environment will find it possible to kill,gun_control
1374355731005198338.jpg,The text on the image reads:,There are three people in the image.,The image shows a man with dreadlocks holding an AR-15 rifle in a kitchen.,gun_control
1371884350766206977.jpg,byronstone for governor of ohio in regards to the recent shootings at polaris mall,There are no people in the image.,a message from the governor of ohio in response to the recent shootings at polaris mall,gun_control
1332617748774596609.jpg,two guns,There are no people in the image.,"The image features two AK-47 rifles laying on a concrete floor, with one of the guns having a wooden handle and the other having a metal handle. These weapons are likely to have been used in a criminal activity, such as a robbery or a crime scene.",gun_control
1341012430709776385.jpg,fbi dangerous terrorist money,There are two people in the image.,a cartoon showing the statue of liberty being attacked by the federal bureau of investigation,gun_control
1366758480628047875.jpg,europe death rate,There are many people in the image.,"Several countries are represented in a table with a large number of circles. The table shows the percentage of each country's GDP per capita, as well as the average GDP per capita for each country. It also shows the average GDP per capita for each country, as well as the average GDP per capita for the world as a whole. In addition, the table shows the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average GDP per capita for the world as a whole, as well as the average",gun_control
1362907714318344192.jpg,demand action,There is one person in the image.,"The image features a man sitting in front of a laptop and a desktop computer. He is wearing a red shirt with the words ""Demand Action"" written on it. The man is sitting in a chair next to a desk with a laptop and a desktop computer. There is also a piece of paper on the desk, which may be related to the topic of the image.",gun_control
1344073616284131329.jpg,when seconds count police are minutes or hours away,There are no people in the image.,when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count police are minutes or hours away | tagged in memes with the title when seconds count,gun_control
1366493428851363840.jpg,The text on the image says nothing.,There are several people in the image.,The image shows a man raising his fist in front of a crowd of people on a city street at night.,gun_control
1364455540001181696.jpg,"the measure, which passed 656 will lead to the state i would eliminate gun licenses",There are no people in the image.,"the indiana star with the words measure, which passed 656 to lead the state would eliminate bannister licenses, which would lead the senate would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state would eliminate bannister licenses, which would lead the state",gun_control
1364249530267361282.jpg,"the last time democrats got this involved with ar 15, the mexican drug cartel",1,the last time democrats got this involved with ars they armed the mexican drug cartel,gun_control
1344302362173845505.jpg,gun,There are no people in the image.,a black and white illustration of a gun on a white background,gun_control
1370033395171012609.jpg,we the people,There are no people in the image.,"An image of a gun on top of an american flag with the words ""we the people"" written on it.",gun_control
1362641377687912450.jpg,tell south carolina lammakers oppose open carry gun legislation text sc 64-643,There are no people in the image.,a sign that reads tell south carolina lammaker's oppose open carry gun legislation,gun_control
1374685601996308480.jpg,nothing,There are no people in the image.,"The image features a painting of a pink rose with green leaves in the background. The painting is part of a larger piece of artwork, which could be a work of art or a decorative piece. The painting has been created by a professional artist, and it is likely to be a high-quality piece of art. The painting may have been created for a specific occasion, such as a wedding or a special occasion. It could also be a gift for someone special, such as a friend or family member.",gun_control
1361323716160802818.jpg,"commodore franklin, congressman",There are no people in the image.,a phone screen with a text message on it,gun_control
1341132938763767808.jpg,we the people,There are no people in the image.,"An image of a gun on top of an american flag with the words ""we the people"" written on it.",gun_control
1327578297476247553.jpg,a man is holding a gun in a gun store,There are no people in the image.,"The man in the white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at the target, indicating that he is ready to shoot.",gun_control
1323665868090417152.jpg,scotland,There are four people in the image.,a group of soccer players celebrating after scoring a goal in front of a crowd,gun_control
1374831577625157636.jpg,every time it's cooling off we get and resolute bunch of people who don't stop murders,There are two people in the image.,"The image depicts a man in a suit and tie sitting at a meeting with a group of people. The man is wearing a tie and a suit, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a tie, and he is wearing a suit jacket. The man is wearing a tie and a",gun_control
1374742557670916100.jpg,fox news,There are two people in the image.,a screen shot of a phone with a news article on it,gun_control
1332819729627615232.jpg,Biden's proposed policy for assassination,There are no people in the image.,a tv screen showing a news story about biden's proposed policy for assassination,gun_control
1360726642482585601.jpg,joshua,There are no people in the image.,"The image shows a chain-link fence in the middle of a desert, with a sign that reads ""No Trespassing"". The fence is secured with a chain link, which can be used to prevent people from entering or exiting the area.",gun_control
1374578316468965378.jpg,robyn thomas believes what gun may argue there is no constitutional imperative to gun passing laws,There are two people in the image.,robyn thomas in a suit with a quote,gun_control
1324402928262750208.jpg,gun sense champion mike levin elected to the u s house,There are 2 people in the image.,gun sense champion mike levin has been elected to the u s house,gun_control
1351686160960122880.jpg,Biden harris 2020,There are no people in the image.,a poster for biden harris 2020 is sitting on a wooden table next to a children's book.,gun_control
1374367472711729166.jpg,if a woman has an abortion why should a man be free to force himself on a woman,There are two people in the image.,"a man in a suit with a quote saying if a woman has an abortion, why should a man be free to force himself on a woman",gun_control
1374453666980143104.jpg,an ar - 15 rifle,There are no people in the image.,an ar - 15 rifle on a white background,gun_control
1363688714115964928.jpg,people standing in front of a box,There are four people in the image.,"The image shows a group of people standing around a box on a snowy street. The people are wearing face masks to protect themselves from the cold weather, possibly due to the ongoing coronavirus outbreak. There is also a man in a suit standing next to the box, which could be a courier or delivery person.",gun_control
1342092138008379393.jpg,people on a ship,There are several people in the image.,an old painting of a ship with people on it,gun_control
1356251733136191491.jpg,first you must license and register all firearms,There are many people in the image.,a poster with the words first you must license and register all your guns,gun_control
1372677908637102082.jpg,Disarm hate,There are two people in the image.,a grey background with the words disarm hate on it,gun_control
1370338056415289348.jpg,u.s. air force,There is one person in the image.,"The image features a man in a suit and tie standing in front of an American flag. The man is wearing a tie, which indicates that he is dressed appropriately for his job or position. The man may be a government official, a business executive, or a military officer.",gun_control
1363776961164713987.jpg,neo-nazi,There are several people in the image.,"The image features a man in a camouflage uniform standing in front of the Washington Monument. He is wearing a helmet and a face mask to protect his face from the elements, while carrying a flag or other objects. The man may be a member of the military or a police officer, and he may be participating in a protest or demonstration.",gun_control
1370067302478180361.jpg,The text on the image says wear orange.,There is one person in the image.,"An elderly woman wearing an orange t-shirt stands in front of a white washer and dryer in a living room. She is wearing a shirt with the words ""wear orange"" written on it.",gun_control
1323794547307151367.jpg,gun sense champion jim cyburn elected to the u s house,There are two people in the image.,gun sense champion jim cyburn has been elected to the u s house,gun_control
1351697115953696769.jpg,fdle,There are no people in the image.,a person is holding a letter from the federal criminal background check system,gun_control
1326128756147281921.jpg,a man is holding a gun in a gun store,There are no people in the image.,"The man in the white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at the target, indicating that he is ready to shoot.",gun_control
1372633126577565708.jpg,brady united against cancer,There are no people in the image.,brady united against cancer logo,gun_control
1315369824068005890.jpg,The cover of a comic book featuring a man with a gun.,There are no people in the image.,the cover of a comic book with a man holding a gun,gun_control
1346199868910362626.jpg,the nation,There are no people in the image.,a newspaper article about the nation,gun_control
1323825865474691074.jpg,congratulations robin kelly illinois 2nd congressional district,There are two people in the image.,congratulations to robin kelly of illinois's 2nd congressional district,gun_control
1366858383664496640.jpg,gun control is moving in congress,There are no people in the image.,a poster that says gun control is moving in congress,gun_control
