img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1272919596664795139.jpg,no trees,There are two people in the image.,"The image features a woman wearing a pink safety vest and holding a clipboard. She is standing on a sidewalk, next to a street sign that indicates the presence of a tree. The clipboard could be used for a variety of purposes, such as recording important information or taking notes.",abortion
1291350869238218752.jpg,any country that accepts abortion is not teaching people to love,There are two people in the image.,mother teresa quotes any country that accepts abortion is not teaching people to love it is the greatest destroyer of love,abortion
1158764822894391296.jpg,adoption is just a birthmother's reflection of unconditional love that can and will change the world,There are two people in the image.,a woman holding a baby with a quote saying adoption is just a reflection of a mother's love,abortion
1157424626227503104.jpg,Free abortion on demand without violence,There are several people in the image.,"The image depicts a group of protesters holding a sign that reads, ""Free abortion on demand without violence."" The protesters are holding the sign in front of a building.",abortion
1225031889095884800.jpg,i am one of the 8-10 in abortion care believe safe and respectful for all,There are several people in the image.,a poster that says i am one of the 8 & 10 abortion care providers who believe in safe and respectful abortion care,abortion
1283036042656874496.jpg,Abortion is a basic human right,There are two people in the image.,a pair of hands holding up a sign that says abortion is a basic human right,abortion
1362168369777106947.jpg,Documentation of csc led by franklin iii,There are no people in the image.,a page with the title of a document that is written in black and white,abortion
1367187281069674496.jpg,Birth control flexible payment delivered,There are no people in the image.,a phone with a contraceptive pill on it and the text birth control flexible payment delivered,abortion
1245094272912838663.jpg,abortion hurts women,There are several people in the image.,"The image depicts a woman holding a sign that reads, ""Abortion Hurts Women."" The woman is part of a crowd of people who are protesting the issue of abortion.",abortion
1120932303021195264.jpg,this is literally a life or death decision and we should be doing whatever we can to save children from abortion,There are two people in the image.,a man in a suit with a quote that says this is a life or death decision and we should be doing whatever we can to save children from abortion,abortion
1279253613945204736.jpg,nbc news,There is one person in the image.,"The image features a black man in a suit and tie, sitting in front of a couch. He is smiling and wearing a tie, which indicates that he is confident and comfortable in his appearance.",abortion
1072092856905551873.jpg,baby,There are two people in the image.,"The image depicts a newborn baby being held by a person in a hospital bed. The baby is wrapped in a blanket and has an oxygen tube attached to its head, which indicates that the baby is receiving oxygen therapy. The hands of the person holding the baby may indicate that the baby is being cared for by a medical professional.",abortion
1230854885224087553.jpg,did you know?,There are no people in the image.,a piece of paper with the words did you know? on it.,abortion
1121051317819064321.jpg,who wants to be a hero,There are four people in the image.,"The image features a group of girls sitting at a table and holding a poster with the message, ""We want you to be a part of our team!"". There are several bottles of water on the table as well, suggesting that the girls are enjoying their time together.",abortion
1079913760536571904.jpg,smile,There are no people in the image.,"The image features a baby in a brown and white pajama, smiling and sitting on a chair. The baby has blue eyes and is wearing a brown shirt with a deer pattern. The baby's hands are clasped in front of his face, indicating that he is happy and content.",abortion
1203650577286062080.jpg,nothing,There is one person in the image.,"The image shows a woman wearing a black jacket and a gold necklace. The woman is smiling and looking at the camera, which suggests that she is taking a selfie or posing for a photo.",abortion
1224860309929824256.jpg,nothing,There is one person in the image.,"The image depicts a pregnant woman sitting on a couch and holding her head in pain. The woman is likely suffering from a medical condition, such as pregnancy or childbirth. She may also be experiencing a mental health issue, such as depression or anxiety.",abortion
1020955805485498368.jpg,image not found,There are no people in the image.,a black and white image of a man with a camera,abortion
1229838033836371968.jpg,when i consider a change in my life i have had different everything could have,There are no people in the image.,a quote that says when i think of a change in my life i think of how different everything could have been,abortion
1101583152101949440.jpg,feeling sad or confused about having an abortion does not make you bad it makes you human,There are two people in the image.,"a woman sitting on a beach with a quote saying feeling sad or confused about having an abortion does not make you a bad person, it makes you a human",abortion
1192485634973274112.jpg,unborn lives matter,There are ten people in the image.,"A group of people are standing outside a building holding signs that read, ""Unborn lives matter abortion"".",abortion
1204746651778375680.jpg,Randy Almond someone's desperation or dependency should motivate us to protect her not destroy her,There are two people in the image.,"a baby with a quote that says someone's desperation or dependency should motivate us to protect her, not destroy her",abortion
1205169866434646016.jpg,an illustration of a pregnant woman with a heart balloon hanging from a tree,There are no people in the image.,a drawing of a pregnant woman holding a heart balloon,abortion
1284482558944661505.jpg,wananbabies looks like the yoke's on us choice womb,There are two people in the image.,a cartoon of two naked men holding a sign that says wannababies looks like the yoke's choice womb,abortion
1181618754045775872.jpg,garbage truck,There are no people in the image.,"The image depicts a green garbage truck driving down a city street with a crane attached to it. There is also a car on the street, possibly a passenger vehicle, and a pedestrian crossing in front of the truck.",abortion
1203350204914769922.jpg,asian fertility rate,There are no people in the image.,a graph showing the rate of fertility in the united states,abortion
1116349309702643712.jpg,fetus,There are no people in the image.,"An image of a baby fetus in the womb with its hands raised in the air. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development.",abortion
1103165818135867392.jpg,"at least 22,000 women and girls die from unsafe abortion each year",There are two people in the image.,"at least 22,000 women and girls die from unsafe abortion each year",abortion
1030092232865370114.jpg,"The text on the image reads, 'Face Up Tour'.",There are two people in the image.,a woman holding a microphone in front of a purple background,abortion
1089211681681620992.jpg,nothing,There are a large number of people in the image.,"The image depicts a large crowd of people standing in front of a building with a tall clock tower and a clock tower in the background. There is a large group of people gathered in front of the building, possibly for an event or celebration. There is also a flag flying in the background, which indicates that there is a significant event taking place in the area.",abortion
1221845584841248769.jpg,become an individual member of funds linked to your local fund,There are two people in the image.,a smiling woman wearing a purple shirt with the text stay connected to the work you're passionate about by becoming an individual abortion member of funds linked to your local fund,abortion
1225510796874129408.jpg,any society that calls the dismantling of 3000 babies healthcare is deceived,There are a lot of people in the image.,a group of people crossing a street,abortion
1202591723366633472.jpg,proud to be endorsed by texas alliance for life,There are 2 people in the image.,michael cloud is proud to be endorsed by the texas alliance for life,abortion
1181576399255199744.jpg,Men have opportunity to positively impact life ministry by establishing gospel relationships with fellow men,There are four people in the image.,men have opportunity to impact life ministry by embracing gospel relationships with men,abortion
1021830413550067713.jpg,Your body? since when female body have 5 beatings,There are no people in the image.,a pregnant woman's body with the words your body?,abortion
1308121875298553856.jpg,let us work together to build a culture that cherishes all life,There are two people in the image.,a quote from donald trump,abortion
1205232136598499339.jpg,there's not a single fetal or material condition that requires third delivery yes abortion no,There are no people in the image.,there's not a single fetal or material condition that requires third delivery yes abortion no,abortion
1053356834168410112.jpg,st john's college,There are several people in the image.,"The image depicts a woman giving a presentation to a group of people in a classroom setting. The woman is holding a microphone and speaking into the camera, which suggests that she is giving a lecture or a presentation. There are several chairs surrounding the woman, suggesting that she is giving a lecture or a presentation to a group of people.",abortion
1278470970274177025.jpg,Help us Help Her,There are two people in the image.,"The image depicts a woman sitting on the floor and holding a sign that reads, Help us Helper.",abortion
1161407119289147394.jpg,don't do it,There are two people in the image.,a screenshot of a text message from a client,abortion
1230217653710721026.jpg,fish,There are two people in the image.,"The image depicts a young boy holding a red fish while standing in a body of water. The boy is wearing a sweater and is smiling as he holds the fish, which could be a sign of happiness or excitement. The fish may have been caught during a fishing trip, or it may have been accidentally released into the water due to poor weather conditions or other factors.",abortion
1071091986575360000.jpg,fetus,There are no people in the image.,"An image of a baby fetus in a plastic bag is shown on a blue background. The baby fetus appears to be growing inside the plastic bag, which may indicate that it is still in the process of developing into a healthy human being.",abortion
1271613268927315968.jpg,fetus,There are two people in the image.,"The image depicts an ultrasound image of a pregnant woman with a baby in her womb. The image is likely taken during pregnancy or shortly after delivery. It may also be used to assess the health of the baby's internal organs, such as the kidneys, liver, or heart.",abortion
1283050473206030338.jpg,wo,There are six people in the image.,"The image shows a group of people on a video conference call, each with a different person in front of them. Each person is wearing a different type of attire, including a business suit, a dress shirt, and a button-down shirt. They are all smiling and engaging with one another, which indicates that they are participating in a live video conference.",abortion
1213535444463489024.jpg,the only thing necessary for the triumph of evil is for good men to do nothing,There are no people in the image.,the only thing necessary for the triumph of evil is for good men to do nothing,abortion
1159776308173463554.jpg,fight back campaign,There are six people in the image.,"The image shows a group of people holding a sign in support of a fight back campaign. They are holding the sign in front of a street, and there is a small child standing next to them.",abortion
1159804602180653056.jpg,smile,There are no people in the image.,a baby is smiling while sitting on a chair,abortion
1307568748300308481.jpg,ruth giles,There are two people in the image.,a cartoon of a woman and a man standing next to each other,abortion
1171202944336900101.jpg,for the fetus through enclosed in the womb of his mother is already a crime,1,john calvin's quote for the fetus through enclosed in the womb of his mother is already a crime,abortion
1162314259658891264.jpg,nothing,There are no people in the image.,"The image features two wooden chairs and a table in a restaurant setting. The chairs are placed next to each other, forming a set of tables and chairs in the dining area. There is also a light shining through the windows, which adds to the overall ambience of the restaurant.",abortion
1362145215751086083.jpg,State of the State Proposal Improve Provide awareness of racial bias and its impact on maternal mortality,There are no people in the image.,state of the state proposal improve provide awareness racial bias impact on maternal mortality,abortion
1156331132700381185.jpg,self managed abortion with pills self and all methods,There are no people in the image.,self-managed abortion with pills and self-advocacy,abortion
1284616491271442433.jpg,Fertility clinics destroy embryos all the time why aren't conservatives after,There are no people in the image.,"fertility clinics destroy embryos all the time, why don't conservatives",abortion
1238147866041950210.jpg,Pro Life is Pro Love,There are two people in the image.,A woman is holding a baby with the text pro life is pro love.,abortion
1352742084059361280.jpg,We must always stand up for life,There are no people in the image.,"The image features a white background with a quote that reads, ""We must always stand up for life."" The quote is written on a white background with the words, ""We must always stand up for life.""",abortion
1071438731310063616.jpg,The text on the image reads 'do not touch'.,There are no people in the image.,A person wearing gloves is holding a syringe in a sink.,abortion
1352746874827116544.jpg,Scriptural Explanations,There are no people in the image.,a screenshot of a text message on a phone,abortion
1168931769267216384.jpg,We will not go back,There are two people in the image.,"A person is holding a sign that reads, ""We will not go back."" The person is holding the sign in front of a tree.",abortion
1187669559798652929.jpg,how do you plan to teach your children,There are no people in the image.,a page from a book with a red circle on it,abortion
1096199920908988416.jpg,women,There are several people in the image.,The image shows a group of women sitting on the ground and wearing colorful headscarves.,abortion
1174722571780198403.jpg,Abortion is Self-Harm,There are two people in the image.,The poster features a woman with an afro and the text abortion is self-harm.,abortion
1245087243733274624.jpg,very little protective equipment is used in a first trimester abortion that is used in a first trimester abortion,There are no people in the image.,a very little protective equipment is used in the first obstetric abortion that was performed by an anesthesiologist,abortion
1278009322564390912.jpg,protect and educate black women,There are many people in the image.,a poster that says protect and educate our black women,abortion
1226865924214546432.jpg,injustice anywhere is a threat to justice everywhere,There are two people in the image.,a baby in a crib with a quote from martin luther king jr,abortion
1211679637941694465.jpg,Spread the love of Christ and rescue a child,There are two people in the image.,spread the love of christ and rescue a child,abortion
1170888835338625026.jpg,me flipping off the world when heard says it's off to murder and have forgotten what they said,There are no people in the image.,me flipping off the world when i heard says to kill and i haven't forgotten what he said,abortion
1029446728267657217.jpg,u s of america,There are many people in the image.,a map of the united states showing the number of electric vehicles in each state,abortion
1250251086532956160.jpg,letter from peter mccarthy,There are no people in the image.,a letter from the president of the united states,abortion
1146578523051532288.jpg,nothing,There are two people in the image.,"The image features a pregnant woman and a little girl touching the belly of the pregnant woman. The little girl is reaching out to touch the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman. The pregnant woman's belly is visible in the image, indicating that she is pregnant. The little girl is reaching out to touch the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested in touching the belly of the pregnant woman, indicating that she is interested",abortion
1076887497060347904.jpg,check it out,There are no people in the image.,"Several pictures are shown in a collage with the title ""Click It or Ticket"". The picture shows a car, a truck, and a sign that says ""Click It or Ticket"" on it.",abortion
1234710453638447104.jpg,Introducing BabyBaby the vaginal sound system to give your baby a concert,There are no people in the image.,an image of a pink sound system on a twitter page,abortion
1070726604907675648.jpg,write a response to the following question,There are no people in the image.,a student's handwriting on a piece of paper,abortion
1232399425873567746.jpg,robert moore,There are no people in the image.,a card with a quote from robert moore,abortion
1214400203962245121.jpg,abortion kills twice it kills the baby and it kills the conscience of the mother,There are no people in the image.,abortion kills twice it kills the baby and it kills the conscience of the mother,abortion
1079426932150743040.jpg,Keep your laws off my body,There are several people in the image.,"A group of people are holding signs on the side of a building. Some of the signs read, ""Keep your laws off my body"", while others read, ""Keep your laws off my body"".",abortion
1230626358004527104.jpg,elizabeth warren com,There are several people in the image.,elizabeth warren is standing at a podium in front of a crowd of people,abortion
1191873361183416320.jpg,Alabama abortion activists scored major win with federal judge blocks near total abortion ban,There are 2 people in the image.,alabama abortion activists scored a major victory with a federal judge blocks near total abortion ban,abortion
1277741462843731970.jpg,silhouettes of people raising their arms in the sky,There are four people in the image.,silhouettes of a group of friends celebrating the sunset with their arms raised in the air,abortion
1201151976819560450.jpg,stethoscope,There are no people in the image.,"The image features a stethoscope and a pair of ultrasound images on a wooden table. The stethoscope can be used to perform an ultrasound, which is a medical procedure that uses sound waves to create an image of the internal organs. The ultrasound images can be used to detect abnormalities in the internal organs, such as cysts, tumors, or uterine fibroids. The stethoscope can also be used to measure the size of the internal organs, such as the uterus, uterus, or cervix. The stethoscope can be used to measure the size of the internal organs, such as the uterus, uterus, or cervix. The stethoscope can be used to measure the size of the internal organs, such as the uterus, uterus, or cervix. The stethoscope can be used to measure the size of the internal organs, such as the uterus, uterus, or cervix. The stethoscope can be used to measure the size of the internal organs, such as the",abortion
1356422438410727424.jpg,"The text on the image reads, ""Pro-life lives matter"" and ""Babies don't matter"".",There are four people in the image.,"Several women are holding signs in the snow that read, ""Pro-life Lives Matter"" and ""No to Abortion"".",abortion
1172164289416839168.jpg,Rescue System,There are two people in the image.,The image depicts a baby sleeping in a crib with the text Rescue System on the cover.,abortion
1093210968253968385.jpg,two people playing banjo,There are two people in the image.,The image shows a man and a woman playing a banjo while sitting on a chair. They are dressed in costumes and are playing the banjo together.,abortion
1101125627984392192.jpg,wicker basket,There are no people in the image.,"The image features a drawing of a wicker basket with a straw hat attached to it. The wicker basket is placed on top of a purple background, suggesting that it may be used as a carrier for a baby or infant. The wicker basket could be used as a cradle for a baby or infant, or it could be used as a sling for a baby or infant. The wicker basket can be used as a cradle for a baby or infant, or it can be used as a sling for a baby or infant. The wicker basket can be used as a cradle for a baby or infant, or it can be used as a sling for a baby or infant. The wicker basket can be used as a cradle for a baby or infant, or it can be used as a sling for a baby or infant. The wicker basket can be used as a cradle for a baby or infant, or it can be used as a sling for a baby or infant.",abortion
1212910181283225601.jpg,"The text on the image reads, ""adoption access is non-negotiable d c washington.""",There are no people in the image.,a person is holding a cake that says abortion access is non-negotiable,abortion
1205916504023273474.jpg,the womb christmas carling,1,the womb christmas screenshot,abortion
1231606875474550784.jpg,Support providing medical care to babies who survived abortions,There are two people in the image.,an image of a baby with the text support providing medical care to babies who survived botched abortions,abortion
1131162068445327361.jpg,the new york governor signs georgia's heartbeat abortion law,There are four people in the image.,a man in a suit speaks at a podium with the headline georgia governor signs heartbeat abortion law,abortion
1277641368438005760.jpg,Patients before profits is written on a sign in front of the supreme court.,There are three people in the image.,three women holding signs in front of the supreme court,abortion
1263411529891762178.jpg,pregnant woman holding a leaf,There is one person in the image.,a pregnant woman in a blue dress holding a leaf,abortion
1299366247612796934.jpg,the abortion solution is a cheap way financially cheaper to brush your teeth troubled while claiming the service,There are two people in the image.,a woman in a dark room with a quote about abortion,abortion
1260312940210794502.jpg,an ultrasound image of a baby,There are two people in the image.,an ultrasound image of a pregnant woman,abortion
1298384208398888962.jpg,the right to life is an essential right for all,There are three people in the image.,the right to life is an essential right for human beings,abortion
1357469292917366786.jpg,if the choice to kill their baby is so sacred pro choosers why do photos make them angry,There are two people in the image.,if the choice to kill their baby is sacred pro choosers why photos of the choices make them angry?,abortion
1134161388316909569.jpg,abortion is a right,There are a lot of people in the image.,"Several people are holding signs that read, ""adoption is a right"" in front of the Supreme Court building.",abortion
1154681075861544961.jpg,safe the girls lives,There are ten people in the image.,"A group of people holding signs that read, ""Say no to violence against women"" or ""Stop violence against women"".",abortion
1211670549446852609.jpg,The text on the image says bernie sanders.,There is one person in the image.,an older man smiling with glasses and a suit,abortion
1053345539004219392.jpg,yes 1,There are two people in the image.,"The image depicts a woman standing at a podium in front of a sign that reads ""Yes 1"" on the steps of a building. The woman is giving a speech at the podium, indicating her support for the yes 1 campaign. There are several flags visible in the background of the image, indicating that the event is taking place in a public space.",abortion
1213868223663419392.jpg,life,There are several people in the image.,"The woman in the image is wearing a scarf and has a red sticker with the word ""life"" written on it. She is participating in a protest or rally, and the sticker is visible on her mouth.",abortion
1175124855512952832.jpg,All 9 Months,There are two people in the image.,An image of a baby being delivered in an operating room with the text all 9 months.,abortion
1215434841845530625.jpg,trump republican racial,There are several people in the image.,a woman is singing into a microphone in front of a crowd of people,abortion
1212901260195704834.jpg,school dies giving birth to her daughter's after sexual abuse,There are no people in the image.,a girl with a bow in her hair is giving birth to her father after years of sexual abuse,abortion
1174155527640813569.jpg,tinnitus,There are no people in the image.,"Several images are displayed on a social media page, including a picture of a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his hands and a picture of a woman with blood on her face. The image is part of a larger photo that shows a person with blood on his",abortion
1230927109167763456.jpg,Pro-life from worm to tomb,There are no people in the image.,a quote that says pro-life from womb to tomb,abortion
1157701477214937088.jpg,it was years before i came to faith in christ,There are no people in the image.,"it was years before i came to my faith in jesus christ, i know we don't have children",abortion
1072493691909095424.jpg,pope,There are several people in the image.,Pope person is surrounded by a crowd of people taking pictures with their phones.,abortion
1199316968840536066.jpg,the way to dramatically reduce both sexual harassment & partner,There are two people in the image.,the best way to dramatically reduce both sexual harassment and partner sexual harassment,abortion
1213633089810898945.jpg,nothing,There are no people in the image.,"The image features a baby with blue eyes and a smile, sitting on a chair. The baby is wearing a white shirt and a pair of brown pants. The baby's hands are clasped in front of his face, indicating that he is comfortable and happy.",abortion
1135146633195393024.jpg,my mind body my freedom,There are several people in the image.,"The image shows a woman holding up a sign that reads ""my mind body my freedom"" in black and white.",abortion
1268561947613691908.jpg,The fight to end mail-order abortions is our biggest challenge,There are no people in the image.,the fight to end mail-order abortions is our biggest challenge,abortion
1177300615627755528.jpg,"every human being, even the child, the womb, comes directly from the society not from human authority",There are no people in the image.,"pope john paul ii quotes every human being, the child, the womb, the womb, the womb, the womb, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human being, every human",abortion
1366215387549958149.jpg,key takeaways,There are no people in the image.,a screenshot of a key takeaway,abortion
1062419910192701445.jpg,nothing,There is one person in the image.,"The image features a woman with long, dark hair and a sad expression. She is looking down at her phone, which may be a sign of depression or other mental health issues.",abortion
1103378002925170688.jpg,I am pro life generation,There are several people in the image.,"A group of people are holding signs that read ""I am pro-life generation"" and ""reject abortion"".",abortion
1068353986334461952.jpg,samuel mcdonald,There is one person in the image.,"The image shows a man with glasses and a beard, wearing a white shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face is framed by glasses and he is wearing a blue shirt and a blue tie. The man's face",abortion
1137134243069550598.jpg,two men posing for a photo,There are two people in the image.,two men in suits posing for a photo while holding a piece of paper,abortion
1072551780616151044.jpg,Canadian Women Walk for Revolutionary Drug RU-464 The Abortion Pill,There are no people in the image.,a newspaper article with the title canadian women walk for revolutionary drug r4l4-the abortion pill,abortion
1234644659978137600.jpg,33 senators asked the supreme court to overturn roe v wade,There are 33 people in the image.,33 senators asked the supreme court to overturn roe v. wade,abortion
1264346668725669890.jpg,I Can Feel Pain Don't Deserve Human Rights? is the text on the image.,There are two people in the image.,"The image depicts an image of a pregnant woman with the caption, ""I can feel pain, don't deserve human rights?"". The image is part of a campaign that aims to raise awareness about the importance of human rights.",abortion
1245562974867251200.jpg,Four governments are legislating a pandemic to suck,There are two people in the image.,a screen shot of a facebook page with the message 'four governments are swining',abortion
1253330458068189191.jpg,syringe,There are two people in the image.,A medical professional is injecting a vaccine into a syringe.,abortion
1306976072689422340.jpg,"we have got news over 49,000 babies saved",There are no people in the image.,"An orange banner that reads, we have got news over 49,000 babies saved.",abortion
